Email,Status,Type,Reason
aga181@activegamers.com.au,FAIL,Failed,"2026-04-07 14:14:41,783 - INFO - Timed out waiting for final Xbox page after password. Current URL: https://sisu.xboxlive.com/client/v61/default/view/index.html?action=signup#nt=0&pa=eagxb22%40activegamers.com.au&sid=05fd39d2e5b043e6a2f6fc5bf00cc3441&MS-CV=36ux7lk%2fB029lH%2ff5NHjdw.7&consent=prompt&spt=eyJhbGciOiJIUzI1NiIsImtpZCI6IjEiLCJ0eXAiOiJKV1QifQ.eyJkaWdlc3QiOiIzMzV0LVIxYUZheVdJNUpYM1VENEtJQVJXdFQ2OE5PVEdjNXBVcEZGTWRVIiwiaWF0IjoxNzc1NTM1MjQzLCJuYmYiOjE3NzU1MzUyNDMsImV4cCI6MTc3NTUzNjE0M30.ADaH4vnX_YtNnDnkPBRuRfKDOUkS-9ha_6rdVGpLvw8"
aga182@activegamers.com.au,FAIL,Failed,"2026-04-07 14:16:07,083 - INFO - Subscription flow failed for aga182@activegamers.com.au"
aga183@activegamers.com.au,SUCCESS,Activated,Completed successfully
aga184@activegamers.com.au,SUCCESS,Activated,Completed successfully
aga185@activegamers.com.au,FAIL,Failed,"2026-04-07 14:19:35,309 - INFO - Subscription flow failed for aga185@activegamers.com.au"
aga186@activegamers.com.au,FAIL,Failed,"2026-04-07 14:21:12,058 - INFO - Subscription flow failed for aga186@activegamers.com.au"
aga187@activegamers.com.au,FAIL,Failed,"2026-04-07 14:22:46,416 - INFO - Subscription flow failed for aga187@activegamers.com.au"
aga188@activegamers.com.au,FAIL,Failed,"2026-04-07 14:24:21,381 - INFO - Subscription flow failed for aga188@activegamers.com.au"
aga189@activegamers.com.au,FAIL,Failed,"2026-04-07 14:25:49,577 - INFO - Subscription flow failed for aga189@activegamers.com.au"
aga18@activegamers.com.au,SUCCESS,Activated,Completed successfully
aga190@activegamers.com.au,SUCCESS,Activated,Completed successfully
aga191@activegamers.com.au,FAIL,Failed,"2026-04-07 14:27:56,177 - INFO - Subscription flow failed for aga191@activegamers.com.au"
aga192@activegamers.com.au,SUCCESS,Activated,Completed successfully
aga193@activegamers.com.au,SUCCESS,Activated,Completed successfully
aga194@activegamers.com.au,SUCCESS,Activated,Completed successfully
aga195@activegamers.com.au,SUCCESS,Activated,Completed successfully
aga19@activegamers.com.au,SUCCESS,Activated,Completed successfully
aga1@activegamers.com.au,SUCCESS,Activated,Completed successfully
aga200@activegamers.com.au,FAIL,Failed,"2026-04-07 14:32:53,821 - INFO - Timed out waiting for final Xbox page after password. Current URL: https://sisu.xboxlive.com/client/v61/default/view/index.html?action=signup#nt=0&pa=eagxb17%40activegamers.com.au&sid=4a00af3494be4741a046677fba1ba5501&MS-CV=HwhQwmhQpkGB4fkGcWxtmA.7&consent=prompt&spt=eyJhbGciOiJIUzI1NiIsImtpZCI6IjEiLCJ0eXAiOiJKV1QifQ.eyJkaWdlc3QiOiItT24wMEhaTFB1TjJDVHJ3UVpzZWl1TGZJcWZGc09CQVB2aXpMMEZ2RWgwIiwiaWF0IjoxNzc1NTM2MzQxLCJuYmYiOjE3NzU1MzYzNDEsImV4cCI6MTc3NTUzNzI0MX0.EQb3vQ8stVrKctgEKDS_CbCweQ3tbwshc_JFo4PwWqI"
aga20@activegamers.com.au,SUCCESS,Activated,Completed successfully
aga21@activegamers.com.au,SUCCESS,Activated,Completed successfully
aga22@activegamers.com.au,SUCCESS,Activated,Completed successfully
aga23@activegamers.com.au,SUCCESS,Activated,Completed successfully
aga24@activegamers.com.au,SUCCESS,Activated,Completed successfully
aga25@activegamers.com.au,SUCCESS,Activated,Completed successfully
aga26@activegamers.com.au,SUCCESS,Activated,Completed successfully
aga27@activegamers.com.au,SUCCESS,Activated,Completed successfully
aga28@activegamers.com.au,SUCCESS,Activated,Completed successfully
aga29@activegamers.com.au,SUCCESS,Activated,Completed successfully
aga2@activegamers.com.au,SUCCESS,Activated,Completed successfully
aga30@activegamers.com.au,SUCCESS,Activated,Completed successfully
aga31@activegamers.com.au,SUCCESS,Activated,Completed successfully
aga32@activegamers.com.au,SUCCESS,Activated,Completed successfully
aga33@activegamers.com.au,SUCCESS,Activated,Completed successfully
aga34@activegamers.com.au,SUCCESS,Activated,Completed successfully
aga35@activegamers.com.au,SUCCESS,Activated,Completed successfully
aga36@activegamers.com.au,SUCCESS,Activated,Completed successfully
aga37@activegamers.com.au,SUCCESS,Activated,Completed successfully
aga38@activegamers.com.au,SUCCESS,Activated,Completed successfully
aga39@activegamers.com.au,SUCCESS,Activated,Completed successfully
aga3@activegamers.com.au,SUCCESS,Activated,Completed successfully
aga40@activegamers.com.au,SUCCESS,Activated,Completed successfully
aga41@activegamers.com.au,FAIL,Failed,"2026-04-07 12:28:05,688 - INFO - Could not click 'Use your password' after password"
aga42@activegamers.com.au,SUCCESS,Activated,Completed successfully
aga43@activegamers.com.au,SUCCESS,Activated,Completed successfully
aga44@activegamers.com.au,SUCCESS,Activated,Completed successfully
aga45@activegamers.com.au,SUCCESS,Activated,Completed successfully
aga46@activegamers.com.au,SUCCESS,Activated,Completed successfully
aga47@activegamers.com.au,SUCCESS,Activated,Completed successfully
aga48@activegamers.com.au,SUCCESS,Activated,Completed successfully
aga49@activegamers.com.au,SUCCESS,Activated,Completed successfully
aga4@activegamers.com.au,SUCCESS,Activated,Completed successfully
aga50@activegamers.com.au,SUCCESS,Activated,Completed successfully
aga51@activegamers.com.au,FAIL,Failed,"2026-04-07 12:34:39,748 - INFO - Could not click 'Use your password' after password"
aga52@activegamers.com.au,SUCCESS,Activated,Completed successfully
aga53@activegamers.com.au,SUCCESS,Activated,Completed successfully
aga54@activegamers.com.au,SUCCESS,Activated,Completed successfully
aga55@activegamers.com.au,SUCCESS,Activated,Completed successfully
aga56@activegamers.com.au,SUCCESS,Activated,Completed successfully
aga57@activegamers.com.au,SUCCESS,Activated,Completed successfully
aga58@activegamers.com.au,SUCCESS,Activated,Completed successfully
aga59@activegamers.com.au,SUCCESS,Activated,Completed successfully
aga5@activegamers.com.au,FAIL,Failed,"2026-04-07 12:01:40,274 - INFO - Could not click 'Use your password' after password"
aga60@activegamers.com.au,SUCCESS,Activated,Completed successfully
aga61@activegamers.com.au,SUCCESS,Activated,Completed successfully
aga62@activegamers.com.au,SUCCESS,Activated,Completed successfully
aga63@activegamers.com.au,SUCCESS,Activated,Completed successfully
aga64@activegamers.com.au,SUCCESS,Activated,Completed successfully
aga65@activegamers.com.au,SUCCESS,Activated,Completed successfully
aga66@activegamers.com.au,SUCCESS,Activated,Completed successfully
aga67@activegamers.com.au,SUCCESS,Activated,Completed successfully
aga68@activegamers.com.au,SUCCESS,Activated,Completed successfully
aga69@activegamers.com.au,SUCCESS,Activated,Completed successfully
aga6@activegamers.com.au,SUCCESS,Activated,Completed successfully
aga70@activegamers.com.au,SUCCESS,Activated,Completed successfully
aga71@activegamers.com.au,SUCCESS,Activated,Completed successfully
aga72@activegamers.com.au,SUCCESS,Activated,Completed successfully
aga73@activegamers.com.au,SUCCESS,Activated,Completed successfully
aga74@activegamers.com.au,SUCCESS,Activated,Completed successfully
aga75@activegamers.com.au,SUCCESS,Activated,Completed successfully
aga76@activegamers.com.au,SUCCESS,Activated,Completed successfully
aga77@activegamers.com.au,SUCCESS,Activated,Completed successfully
aga78@activegamers.com.au,SUCCESS,Activated,Completed successfully
aga79@activegamers.com.au,SUCCESS,Activated,Completed successfully
aga7@activegamers.com.au,SUCCESS,Activated,Completed successfully
aga80@activegamers.com.au,SUCCESS,Activated,Completed successfully
aga81@activegamers.com.au,SUCCESS,Activated,Completed successfully
aga82@activegamers.com.au,SUCCESS,Activated,Completed successfully
aga83@activegamers.com.au,SUCCESS,Activated,Completed successfully
aga84@activegamers.com.au,SUCCESS,Activated,Completed successfully
aga85@activegamers.com.au,SUCCESS,Activated,Completed successfully
aga86@activegamers.com.au,SUCCESS,Activated,Completed successfully
aga87@activegamers.com.au,SUCCESS,Activated,Completed successfully
aga88@activegamers.com.au,SUCCESS,Activated,Completed successfully
aga89@activegamers.com.au,SUCCESS,Activated,Completed successfully
aga8@activegamers.com.au,SUCCESS,Activated,Completed successfully
aga90@activegamers.com.au,SUCCESS,Activated,Completed successfully
aga91@activegamers.com.au,SUCCESS,Activated,Completed successfully
aga92@activegamers.com.au,SUCCESS,Activated,Completed successfully
aga93@activegamers.com.au,SUCCESS,Activated,Completed successfully
aga94@activegamers.com.au,SUCCESS,Activated,Completed successfully
aga95@activegamers.com.au,SUCCESS,Activated,Completed successfully
aga96@activegamers.com.au,SUCCESS,Activated,Completed successfully
aga97@activegamers.com.au,SUCCESS,Activated,Completed successfully
aga98@activegamers.com.au,SUCCESS,Activated,Completed successfully
aga99@activegamers.com.au,SUCCESS,Activated,Completed successfully
aga9@activegamers.com.au,SUCCESS,Activated,Completed successfully
agapc10@activegamers.com.au,SUCCESS,Activated,Completed successfully
agapc11@activegamers.com.au,SUCCESS,Activated,Completed successfully
agapc12@activegamers.com.au,SUCCESS,Activated,Completed successfully
agapc13@activegamers.com.au,SUCCESS,Activated,Completed successfully
agapc14@activegamers.com.au,SUCCESS,Activated,Completed successfully
agapc15@activegamers.com.au,SUCCESS,Activated,Completed successfully
agapc16@activegamers.com.au,SUCCESS,Activated,Completed successfully
agapc17@activegamers.com.au,SUCCESS,Activated,Completed successfully
agapc18@activegamers.com.au,SUCCESS,Activated,Completed successfully
agapc19@activegamers.com.au,SUCCESS,Activated,Completed successfully
agapc1@activegamers.com.au,FAIL,Failed,"2026-04-07 14:33:20,003 - INFO - Could not click 'Use your password' after password"
agapc20@activegamers.com.au,SUCCESS,Activated,Completed successfully
agapc21@activegamers.com.au,SUCCESS,Activated,Completed successfully
agapc22@activegamers.com.au,SUCCESS,Activated,Completed successfully
agapc23@activegamers.com.au,SUCCESS,Activated,Completed successfully
agapc24@activegamers.com.au,SUCCESS,Activated,Completed successfully
agapc25@activegamers.com.au,FAIL,Failed,"2026-04-07 14:50:22,939 - INFO - Action failed for agapc25@activegamers.com.au"
agapc26@activegamers.com.au,SUCCESS,Activated,Completed successfully
agapc27@activegamers.com.au,SUCCESS,Activated,Completed successfully
agapc28@activegamers.com.au,SUCCESS,Activated,Completed successfully
agapc2@activegamers.com.au,FAIL,Failed,"2026-04-07 14:33:49,410 - INFO - Action failed for agapc2@activegamers.com.au"
agapc3@activegamers.com.au,SUCCESS,Activated,Completed successfully
agapc4@activegamers.com.au,SUCCESS,Activated,Completed successfully
agapc5@activegamers.com.au,SUCCESS,Activated,Completed successfully
agapc6@activegamers.com.au,SUCCESS,Activated,Completed successfully
agapc7@activegamers.com.au,SUCCESS,Activated,Completed successfully
agapc8@activegamers.com.au,SUCCESS,Activated,Completed successfully
agapc9@activegamers.com.au,SUCCESS,Activated,Completed successfully
eagpc01@activegamers.com.au,FAIL,Failed,"2026-04-07 15:30:28,268 - INFO - Subscription flow failed for eagpc01@activegamers.com.au"
eagpc02@activegamers.com.au,FAIL,Failed,"2026-04-07 15:31:55,029 - INFO - Subscription flow failed for eagpc02@activegamers.com.au"
eagpc03@activegamers.com.au,FAIL,Failed,"2026-04-07 15:32:37,096 - INFO - Action failed for eagpc03@activegamers.com.au"
eagpc04@activegamers.com.au,FAIL,Failed,"2026-04-07 15:32:58,695 - INFO - Action failed for eagpc04@activegamers.com.au"
eagpc05@activegamers.com.au,FAIL,Failed,"2026-04-07 15:33:15,809 - INFO - Action failed for eagpc05@activegamers.com.au"
eagpc06@activegamers.com.au,FAIL,Failed,"2026-04-07 15:33:32,673 - INFO - Action failed for eagpc06@activegamers.com.au"
eagxb01@activegamers.com.au,SUCCESS,Activated,Completed successfully
eagxb02@activegamers.com.au,SUCCESS,Activated,Completed successfully
eagxb03@activegamers.com.au,SUCCESS,Activated,Completed successfully
eagxb04@activegamers.com.au,SUCCESS,Activated,Completed successfully
eagxb05@activegamers.com.au,SUCCESS,Activated,Completed successfully
eagxb06@activegamers.com.au,SUCCESS,Activated,Completed successfully
eagxb07@activegamers.com.au,SUCCESS,Activated,Completed successfully
eagxb08@activegamers.com.au,SUCCESS,Activated,Completed successfully
eagxb09@activegamers.com.au,FAIL,Failed,"2026-04-07 15:19:17,242 - INFO - Subscription flow failed for eagxb09@activegamers.com.au"
eagxb10@activegamers.com.au,FAIL,Failed,"2026-04-07 15:20:41,174 - INFO - Subscription flow failed for eagxb10@activegamers.com.au"
eagxb11@activegamers.com.au,FAIL,Failed,"2026-04-07 15:21:45,053 - INFO - Timed out waiting for final Xbox page after password. Current URL: https://account.live.com/identity/confirm?mkt=EN-US&uiflavor=web&client_id=1E00004C5BC0A9&id=290794&ru=https://login.live.com/oauth20_authorize.srf%3fuaid%3de715c6b155ce42428a1b73384fe7284b%26client_id%3d1f907974-e22b-4810-a9de-d9647380c97e%26opid%3d71857B900202E9AF%26mkt%3dEN-US%26opidt%3d1775539260"
eagxb12@activegamers.com.au,FAIL,Failed,"2026-04-07 15:23:10,165 - INFO - Subscription flow failed for eagxb12@activegamers.com.au"
eagxb13@activegamers.com.au,FAIL,Failed,"2026-04-07 15:24:36,442 - INFO - Subscription flow failed for eagxb13@activegamers.com.au"
eagxb14@activegamers.com.au,FAIL,Failed,"2026-04-07 15:26:03,295 - INFO - Subscription flow failed for eagxb14@activegamers.com.au"
eagxb15@activegamers.com.au,FAIL,Failed,"2026-04-07 15:27:30,683 - INFO - Subscription flow failed for eagxb15@activegamers.com.au"
eagxb16@activegamers.com.au,FAIL,Failed,"2026-04-07 15:28:57,935 - INFO - Subscription flow failed for eagxb16@activegamers.com.au"
wanpc01@activegamers.com.au,SUCCESS,Activated,Completed successfully
wanpc02@activegamers.com.au,SUCCESS,Activated,Completed successfully
wanpc03@activegamers.com.au,SUCCESS,Activated,Completed successfully
wanpc04@activegamers.com.au,SUCCESS,Activated,Completed successfully
wanpc05@activegamers.com.au,SUCCESS,Activated,Completed successfully
wanpc06@activegamers.com.au,SUCCESS,Activated,Completed successfully
wanxb01@activegamers.com.au,SUCCESS,Activated,Completed successfully
wanxb02@activegamers.com.au,SUCCESS,Activated,Completed successfully
wanxb03@activegamers.com.au,SUCCESS,Activated,Completed successfully
wanxb04@activegamers.com.au,SUCCESS,Activated,Completed successfully
wanxb05@activegamers.com.au,SUCCESS,Activated,Completed successfully
wanxb06@activegamers.com.au,SUCCESS,Activated,Completed successfully
wanxb07@activegamers.com.au,SUCCESS,Activated,Completed successfully
wanxb08@activegamers.com.au,SUCCESS,Activated,Completed successfully
wanxb09@activegamers.com.au,SUCCESS,Activated,Completed successfully
wanxb10@activegamers.com.au,SUCCESS,Activated,Completed successfully
wanxb11@activegamers.com.au,SUCCESS,Activated,Completed successfully
wanxb12@activegamers.com.au,SUCCESS,Activated,Completed successfully
wanxb13@activegamers.com.au,SUCCESS,Activated,Completed successfully
wanxb14@activegamers.com.au,SUCCESS,Activated,Completed successfully
wanxb15@activegamers.com.au,SUCCESS,Activated,Completed successfully
wanxb16@activegamers.com.au,SUCCESS,Activated,Completed successfully
wodxb01@activegamers.com.au,SUCCESS,Activated,Completed successfully
wodxb02@activegamers.com.au,SUCCESS,Activated,Completed successfully
wodxb03@activegamers.com.au,SUCCESS,Activated,Completed successfully
wodxb04@activegamers.com.au,SUCCESS,Activated,Completed successfully
